No.,Title,Author(s),Language,Game type,Duration,Min. number of players,Max. number of players,Entry threshold,Prerequisites,Link,Hashtags
1,You Only Tell Me That You Love Me When You're Drunk,Piotr Milewski,PL,jeepform,<2h,6,6,2,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
2,You Only Tell Me That You Love Me When You're Drunk,Piotr Milewski,EN,jeepform,<2h,6,6,2,3,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
3,Piąteczka czy dupeczka,"Patryk Kulpok
Piotr Milewski
Piotr Nowakowski
Marcin Słowikowski",PL,freeform,<2h,11,19,2,2,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#10plus
#LGBT"
4,Hi-Five or Ass-Grab,"Patryk Kulpok
Piotr Milewski
Piotr Nowakowski
Marcin Słowikowski",EN,freeform,<2h,11,19,2,2,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#10plus
#LGBT"
5,Queer dating bingo,Karolina Fedyk,PL,nano-larp,<2h,2,2,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
6,Queer dating bingo,Karolina Fedyk,EN,nano-larp,<2h,2,2,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
7,Poker Face,Marcin Słowikowski,PL,nano-larp,2-4h,4,7,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
8,Poker Face,Marcin Słowikowski,EN,nano-larp,2-4h,4,7,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
9,Mezalian,Marek Golonka,PL,jeepform,<2h,2,2,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
10,Mesalliance,Marek Golonka,EN,jeepform,<2h,2,2,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
11,"Stary, czy ty jesteś pedałem?",Mikołaj Wicher,PL,jeepform,<2h,2,99,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
12,"Dude, are you a fag or something?",Mikołaj Wicher,EN,jeepform,<2h,2,99,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
13,Dobre chłopaki,Paweł Jasiński,PL,nano-larp,2-4h,5,5,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#gangs
#LGBT"
14,The Good Lads,Paweł Jasiński,EN,nano-larp,2-4h,5,5,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#gangs
#LGBT"
15,Namiot ,"Andrzej Pierzchała
Agata Waszkiewicz",PL,nano-larp,<2h,3,5,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
16,The Tent,"Andrzej Pierzchała
Agata Waszkiewicz",EN,nano-larp,<2h,3,5,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
17,Kolejny ponury dzień w biurze,Dawid Rogusz,PL,nano-larp,<2h,5,99,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#office
#LGBT"
18,Lugubroius day at work,Dawid Rogusz,EN,nano-larp,<2h,5,99,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#office
#LGBT"
19,Taksówka ,Andrzej Pierzchała,PL,nano-larp,<2h,3,3,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
20,The Taxi,Andrzej Pierzchała,EN,nano-larp,<2h,3,3,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
21,2 Speak Is A Sin,Piotr Milewski,PL,nano-larp,<2h,8,16,3,2,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
22,2 Speak Is A Sin,Piotr Milewski,EN,nano-larp,<2h,8,16,3,2,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
23,The Night We Met ,Emilia Kowalska,PL,jeepform,<2h,4,4,2,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
24,The Night We Met ,Emilia Kowalska,EN,jeepform,<2h,4,4,2,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
25,Zazdrość,Piotr Milewski,PL,nano-larp,<2h,8,12,2,2,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
26,Jealousy,Piotr Milewski,EN,nano-larp,<2h,8,12,2,2,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
27,Radical Friendship,Dominik Dembiński,PL,nano-larp,<2h,3,10,3,2,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
28,Radical Friendship,Dominik Dembiński,EN,nano-larp,<2h,3,10,3,2,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
29,Out of the Close,"Agnieszka Piwnicka
Weroniak Walczyk",PL,chamber larp,2-4h,7,13,1,2,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#10plus
#LGBT"
30,Out of the Close,"Agnieszka Piwnicka
Weroniak Walczyk",EN,chamber larp,2-4h,7,13,1,2,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#10plus
#LGBT"
31,Nowa Etykieta ,Agnieszka Rogowska,PL,experimental larp,2-4h,4,4,2,2,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
32,The New Etiquette,Agnieszka Rogowska,EN,experimental larp,2-4h,4,4,2,2,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
33,Dzień Lotu,Gladiator,PL,nano-larp,2-4h,8,12,2,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#10plus
#LGBT"
34,Day of flight,Gladiator,EN,nano-larp,2-4h,8,12,2,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#10plus
#LGBT"
35,Miesiąc Miodowy na Planecie O,Anna Rogala,PL,nano-larp,<2h,4,4,2,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
36,Honeymoon on the planet O,Anna Rogala,EN,nano-larp,<2h,4,4,2,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
37,Gra w wymówki,Emilia Kowalska,PL,jeepform,<2h,2,2,1,1,http://larpbase.pl/portfolio/prism-antologia-scenariuszy-larpowych-vol-1-queer/,"#PRISM
#LGBT"
38,The Excuses game,Emilia Kowalska,EN,jeepform,<2h,2,2,1,1,http://larpbase.pl/portfolio/prism-larp-scenarios-anthology-volume-1-queer/,"#PRISM
#LGBT"
39,1988,Joanna Wiewiórska,PL,other,4-6h,16,16,2,3,https://squirel-spg.blogspot.com/2019/04/larp-1988-scenariusz-print-play.html?fbclid=IwAR3yb_0D9u9hfPLMP1SSijYrJ2_Qg2K82hiymKgVkR_JiQBPKJIrTOY0o1s,#10plus
